country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",26-03-2025 22:00,25.7808257,84.7446768,OZONE,8,139,74
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",26-03-2025 22:00,24.7955,84.9994,NO2,1,15,8
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",26-03-2025 22:00,24.7955,84.9994,CO,22,172,74
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",26-03-2025 22:00,24.7955,84.9994,OZONE,19,21,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-03-2025 22:00,24.792403,84.992416,NH3,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-03-2025 22:00,24.792403,84.992416,SO2,12,17,15
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-03-2025 22:00,24.762518,84.982348,PM10,42,76,61
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-03-2025 22:00,24.762518,84.982348,NH3,3,4,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-03-2025 22:00,16.509717,80.612222,OZONE,7,30,19
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-03-2025 22:00,17.72,83.3,PM2.5,25,77,43
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-03-2025 22:00,17.72,83.3,SO2,6,12,9
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 22:00,27.103358,93.679645,NO2,5,5,5
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 22:00,27.103358,93.679645,OZONE,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-03-2025 22:00,26.071318,91.87488,NO2,12,38,20
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-03-2025 22:00,26.071318,91.87488,CO,38,66,52
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-03-2025 22:00,24.762518,84.982348,OZONE,16,61,42
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-03-2025 22:00,25.697189,85.2459,PM2.5,213,430,300
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-03-2025 22:00,25.697189,85.2459,SO2,5,8,6
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-03-2025 22:00,25.560083,87.553265,PM10,25,104,60
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-03-2025 22:00,26.0881305,87.93840336,CO,38,128,97
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-03-2025 22:00,26.0881305,87.93840336,OZONE,19,21,19
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-03-2025 22:00,13.615387,79.40923,PM2.5,35,203,91
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-03-2025 22:00,13.615387,79.40923,SO2,3,3,3
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-03-2025 22:00,16.536107,80.594233,PM2.5,43,135,75
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-03-2025 22:00,16.536107,80.594233,CO,22,34,26
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-03-2025 22:00,16.536107,80.594233,OZONE,3,28,19
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",26-03-2025 22:00,16.486692,80.699436,PM2.5,52,73,62
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",26-03-2025 22:00,16.486692,80.699436,NH3,4,6,5
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",26-03-2025 22:00,16.486692,80.699436,SO2,2,7,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-03-2025 22:00,14.675886,77.593027,CO,14,16,15
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-03-2025 22:00,13.20488,79.097889,NH3,4,6,4
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-03-2025 22:00,13.20488,79.097889,CO,6,9,8
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",26-03-2025 22:00,14.465052,78.824187,NH3,5,6,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2025 22:00,16.9872867,81.7363176,CO,8,117,106
